id,gasmetallicity,gasmetallicityhalfrad,mass,halfmassrad,mass_gas,halfmassrad_gas,mass_dm,halfmassrad_dm,mass_stars,halfmassrad_stars,sfr,sfrinhalfrad,spin_x,spin_y,spin_z,starrmetallicity,starmetallicityhalfrad
0,0.00929428,0.0110181,22174.8,655.851,1819.32,735.785,20122.1,651.115,233.394,72.0388,2.93449,0.39615,13702.3,-1055.34,-18866.2,0.0243914,0.0274451
30430,0.00378007,0.00716944,17048.3,558.395,971.071,788.363,15860.6,548.27,215.141,50.8656,0.108484,0,10498.7,-3909.35,-53503.7,0.0282581,0.0315775
66080,0.0144487,0.0184647,11085.8,458.262,613.164,608.636,10285.2,454.353,186.883,42.2246,0.718376,0,-3567.29,49748.4,-25611.2,0.0290227,0.0319234
59384,0.0101345,0.0130803,11407.8,492.466,541.127,608.024,10681,491.421,184.953,38.4658,0.264833,0,3058.58,-681.393,2185.44,0.0281826,0.0307578
16937,0.00686328,0.00832208,20001,717.439,1242.98,823.063,18598.7,712.179,159.299,97.3295,1.17209,0.0084005,3957.71,-16260.1,-6720.92,0.0219612,0.024295
80734,0.00981561,0.012827,9892.53,434.207,671.272,615.075,9063.57,422.995,156.967,43.6115,0.0546924,0,13743.1,-3036.34,14381.5,0.0249212,0.0271157
93165,0.0092416,0.0115397,9135.06,399.206,444.429,625.468,8552.12,392.211,137.7,37.4125,0.925166,0.00612167,-6462.91,11353.8,3891.86,0.0252473,0.0280124
142714,0.0145042,0.0144089,3783.39,235.005,54.6,524.729,3615.26,239.874,113.083,22.6279,0.0198852,0,-747.754,-7785.01,-1575.65,0.0291408,0.0316542
99148,0.0111604,0.0123246,7279.16,443.887,567.831,622.83,6601.24,430.634,109.68,29.1991,0.145523,0,-52481.7,1003.34,5784.68,0.0259723,0.0284272
41088,0.00813078,0.00835819,11158.5,496.056,746.771,659.062,10309.3,481.204,101.756,62.3012,0.561976,0,-15209,-15480.3,861.6,0.0192026,0.0214924
86186,0.00688795,0.0102721,9554.1,470.524,450.505,649.178,9003.22,463.889,99.7942,42.6198,0.103187,0,-19049.4,4082.49,33430.3,0.0229416,0.0246721
73663,0.0176331,0.0181069,5829.31,542.069,82.7575,648.64,5654.96,548.822,91.3514,26.7105,1.0243,0.470618,-3391.62,-3311.66,36109.1,0.0282785,0.0304918
