Epoch,G loss,ssim
1,0.1343,0.8274
2,0.1836,0.8781
3,0.0549,0.8838
4,0.0881,0.8869
5,0.0823,0.8896
6,0.0881,0.8848
7,0.0864,0.892
8,0.4483,0.8948
9,0.1579,0.8966
10,0.0777,0.8982
11,0.0828,0.8982
12,0.0796,0.9
13,0.0745,0.9012
14,0.0661,0.9013
15,0.0807,0.903
16,0.0827,0.9022
17,0.0648,0.9038
18,0.0717,0.9039
19,0.0677,0.9047
20,0.0722,0.9048
21,0.0727,0.9061
22,0.0735,0.9067
23,0.0718,0.9076
24,0.0565,0.9081
25,0.0577,0.9085
26,0.0788,0.9094
27,0.0579,0.9096
28,0.0656,0.9116
29,0.0395,0.9133
30,0.0476,0.9131
31,0.0535,0.912
32,0.0659,0.9154
33,0.0815,0.9119
34,0.0679,0.9142
35,0.0514,0.914
36,0.0922,0.9126
37,0.0691,0.9144
38,0.0869,0.915
39,0.062,0.9162
40,0.051,0.9161
41,0.0664,0.919
42,0.89,0.917
43,0.5939,0.9173
44,0.0785,0.9191
45,0.254,0.9182
46,0.7026,0.9189
47,0.5757,0.9201
48,0.3278,0.9202
49,0.6795,0.9178
50,0.6531,0.9209
51,0.8012,0.922
52,0.6329,0.9213
53,0.0661,0.9221
54,0.6839,0.923
55,0.5019,0.923
56,0.1662,0.923
57,0.071,0.9246
58,0.0529,0.9256
59,0.0942,0.9252
60,0.1442,0.9228
61,0.4343,0.9255
62,0.1097,0.9266
63,0.6684,0.9243
64,0.1724,0.9272
65,0.4686,0.9271
66,0.0615,0.9258
67,0.0637,0.9281
68,0.0804,0.9276
69,0.067,0.9272
70,0.0755,0.9287
71,0.0803,0.9301
72,0.0842,0.9302
73,0.0765,0.9328
74,0.0552,0.9328
75,0.0634,0.9301
76,0.375,0.9288
77,0.1639,0.928
78,0.0725,0.9324
79,0.085,0.9308
80,0.7332,0.9314
81,0.0806,0.9321
82,0.0528,0.9338
83,0.0761,0.9329
84,0.0993,0.9329
85,0.0857,0.9338
86,0.081,0.9333
87,0.0783,0.9308
88,0.0681,0.9343
89,0.1009,0.9345
90,0.0678,0.9362
91,0.0759,0.9346
92,0.8269,0.9333
93,0.0711,0.9378
94,0.0696,0.938
95,0.6302,0.9382
96,0.11,0.9401
97,0.0857,0.935
98,0.0821,0.9354
99,0.0608,0.9396
100,0.073,0.9395
101,0.0767,0.9383
102,0.0677,0.9386
103,0.0999,0.9409
104,0.0746,0.9401
105,0.0721,0.9421
106,0.061,0.9382
107,0.0668,0.9408
108,0.7312,0.9371
109,0.0654,0.9357
110,0.0809,0.9384
111,0.0824,0.9409
112,0.085,0.9401
113,0.0525,0.9421
114,0.0637,0.9417
115,0.07,0.9428
116,0.0768,0.9429
117,0.0578,0.9366
118,0.0452,0.939
119,0.0464,0.9439
120,0.0815,0.9444
121,0.0551,0.9448
122,0.072,0.947
123,0.069,0.9462
124,0.0545,0.9473
125,0.0708,0.9423
126,0.3463,0.9453
127,0.0657,0.9457
128,0.0554,0.9483
129,0.0542,0.9467
130,0.0624,0.9457
131,0.0411,0.9448
132,0.0823,0.9493
133,0.0547,0.9398
134,0.0427,0.9454
135,0.041,0.9465
136,0.0317,0.9518
137,0.0703,0.9487
138,0.0454,0.9447
139,0.0647,0.9504
140,0.0437,0.95
141,0.0849,0.9514
142,0.0349,0.9497
143,0.0675,0.9485
144,0.0874,0.9502
145,0.0796,0.9535
146,0.0702,0.95
147,0.0485,0.9549
148,0.0744,0.9541
149,0.0866,0.9539
