Epoch,G loss,ssim
1,0.1771,0.8409
2,0.113,0.9004
3,0.0824,0.9136
4,0.1268,0.9176
5,0.1488,0.9251
6,0.0468,0.927
7,0.1717,0.9307
8,0.0446,0.9347
9,0.1206,0.9345
10,0.0484,0.934
11,0.0443,0.9359
12,0.3258,0.9407
13,0.079,0.941
14,0.0687,0.9402
15,0.0752,0.9404
16,0.0728,0.9411
17,0.0386,0.9457
18,0.1528,0.9437
19,0.0427,0.948
20,0.1316,0.9411
21,0.052,0.9448
22,0.0367,0.9444
23,0.0744,0.9494
24,0.3324,0.9456
25,0.0698,0.95
26,0.0317,0.951
27,0.031,0.952
28,0.0446,0.9496
29,0.034,0.9525
30,0.0361,0.9516
31,0.0323,0.9525
32,0.0304,0.9515
33,0.0763,0.9524
34,0.0296,0.9538
35,0.1136,0.9535
36,0.0312,0.9548
37,0.0278,0.9545
38,0.0305,0.9542
39,0.0282,0.9558
40,0.0313,0.9542
41,0.0336,0.9566
42,0.0313,0.9569
43,0.0283,0.9568
44,0.0379,0.9541
45,0.0287,0.9587
46,0.0298,0.9575
47,0.0266,0.958
48,0.0252,0.9593
49,0.025,0.9534
50,0.0242,0.9572
51,0.0259,0.9602
52,0.0494,0.9581
53,0.0317,0.9593
54,0.0354,0.9604
55,0.0391,0.9559
56,0.1111,0.9593
57,0.0253,0.9612
58,0.0253,0.9609
59,0.0282,0.9601
60,0.0508,0.9611
61,0.0546,0.9616
62,0.0254,0.9615
63,0.0281,0.9633
64,0.0321,0.9607
