Epoch,G loss,ssim
1,0.395,0.6204
2,0.3896,0.6859
3,0.3875,0.6923
4,0.3866,0.6957
5,0.3865,0.6979
6,0.3854,0.6997
7,0.3795,0.7023
8,0.3764,0.7058
9,0.3716,0.7091
10,0.3698,0.7125
11,0.3673,0.7138
12,0.3661,0.7158
13,0.365,0.7169
14,0.3638,0.7178
15,0.3632,0.7187
16,0.3627,0.7193
17,0.3631,0.7201
18,0.363,0.7207
19,0.3619,0.7213
20,0.3609,0.7219
21,0.3614,0.7224
22,0.3605,0.7229
23,0.3602,0.7233
24,0.3601,0.724
25,0.3612,0.7243
26,0.361,0.725
27,0.3603,0.7254
28,0.3587,0.726
29,0.3601,0.7265
30,0.359,0.727
31,0.3593,0.7275
32,0.3586,0.728
33,0.359,0.7286
34,0.3597,0.7291
35,0.3588,0.7296
36,0.3589,0.7301
37,0.3583,0.7306
38,0.3578,0.7312
39,0.3569,0.7318
40,0.3586,0.7323
41,0.3592,0.7329
42,0.3571,0.7334
43,0.3578,0.734
44,0.3579,0.7346
45,0.3572,0.7351
46,0.3576,0.7357
47,0.3581,0.7363
48,0.358,0.7369
49,0.3565,0.7374
50,0.3578,0.738
51,0.3561,0.7385
52,0.3556,0.7391
53,0.3572,0.7396
54,0.3561,0.7402
55,0.3552,0.7407
56,0.3566,0.7413
57,0.3551,0.7418
58,0.3561,0.7422
59,0.3563,0.7427
60,0.3564,0.7432
61,0.3553,0.7437
62,0.3549,0.7442
63,0.3554,0.7446
64,0.3555,0.745
65,0.3544,0.7454
66,0.354,0.7458
67,0.3541,0.7462
68,0.355,0.7467
69,0.3542,0.747
70,0.3552,0.7474
71,0.354,0.7478
72,0.354,0.7482
73,0.3538,0.7486
74,0.3535,0.7489
75,0.3528,0.7493
76,0.3525,0.7496
77,0.3531,0.7499
78,0.3523,0.7502
79,0.3525,0.7505
80,0.3528,0.7508
81,0.3531,0.7511
82,0.3527,0.7514
83,0.352,0.7517
84,0.3526,0.752
85,0.3521,0.7522
86,0.3532,0.7526
87,0.354,0.7528
88,0.3518,0.753
89,0.3524,0.7533
90,0.3515,0.7535
91,0.3516,0.7537
92,0.3525,0.754
93,0.3521,0.7542
94,0.3533,0.7544
95,0.3522,0.7547
96,0.3513,0.7549
97,0.3521,0.7551
98,0.3514,0.7553
99,0.352,0.7556
100,0.3513,0.7557
101,0.3508,0.756
102,0.3505,0.7562
103,0.3512,0.7563
104,0.3505,0.7565
105,0.35,0.7567
106,0.3499,0.7569
107,0.351,0.757
108,0.3509,0.7572
109,0.3495,0.7575
110,0.3494,0.7576
111,0.349,0.7578
112,0.3502,0.758
113,0.3488,0.7582
114,0.3479,0.7583
115,0.3505,0.7584
116,0.3483,0.7586
117,0.3491,0.7588
118,0.3484,0.759
119,0.3479,0.7591
120,0.3515,0.7592
121,0.3482,0.7594
122,0.3478,0.7595
123,0.3495,0.7597
124,0.3478,0.7598
125,0.3492,0.7599
126,0.3474,0.76
127,0.3477,0.7602
128,0.3513,0.7604
129,0.3478,0.7605
130,0.3477,0.7606
131,0.3468,0.7608
132,0.3477,0.7609
133,0.3468,0.7611
134,0.3473,0.7612
135,0.348,0.7613
136,0.3474,0.7614
137,0.3459,0.7615
138,0.3458,0.7616
139,0.347,0.7618
140,0.3462,0.7618
141,0.3458,0.762
142,0.3465,0.7621
143,0.3462,0.7622
144,0.3466,0.7623
145,0.3457,0.7624
146,0.3448,0.7626
147,0.3461,0.7626
148,0.3445,0.7628
149,0.3453,0.7628
150,0.3462,0.7629
151,0.3456,0.763
152,0.3449,0.7631
153,0.3454,0.7632
154,0.3451,0.7634
155,0.3459,0.7634
156,0.3446,0.7635
157,0.345,0.7636
158,0.3437,0.7637
159,0.3437,0.7638
160,0.3445,0.7639
161,0.343,0.764
162,0.3435,0.764
163,0.3435,0.7642
164,0.3432,0.7642
165,0.3427,0.7644
166,0.3436,0.7644
167,0.3423,0.7645
168,0.3431,0.7646
169,0.3426,0.7647
170,0.3432,0.7648
171,0.3431,0.7649
172,0.3421,0.7649
173,0.3429,0.765
174,0.342,0.7651
175,0.3427,0.7652
176,0.3416,0.7653
177,0.3429,0.7654
178,0.3421,0.7655
179,0.3425,0.7655
180,0.3433,0.7656
181,0.342,0.7657
182,0.3419,0.7657
183,0.3415,0.7658
184,0.3417,0.7659
185,0.342,0.766
186,0.3415,0.766
187,0.3416,0.7661
188,0.342,0.7662
189,0.342,0.7663
190,0.3413,0.7663
191,0.3412,0.7664
192,0.3407,0.7665
193,0.3407,0.7665
194,0.3407,0.7666
195,0.3416,0.7666
196,0.3418,0.7667
197,0.341,0.7667
198,0.3409,0.7668
199,0.3409,0.7669
200,0.3402,0.767
201,0.3413,0.767
202,0.342,0.767
203,0.341,0.7671
204,0.3399,0.7671
205,0.3402,0.7672
206,0.3394,0.7673
207,0.3394,0.7673
208,0.339,0.7674
209,0.3394,0.7675
210,0.3389,0.7675
211,0.339,0.7676
212,0.3387,0.7677
213,0.34,0.7677
214,0.3379,0.7677
215,0.3386,0.7679
216,0.3383,0.7679
217,0.3386,0.7679
218,0.3388,0.768
219,0.3389,0.7681
220,0.3382,0.7681
221,0.3389,0.7682
222,0.3386,0.7682
223,0.3389,0.7682
224,0.338,0.7683
225,0.3383,0.7683
226,0.338,0.7684
227,0.338,0.7685
228,0.3377,0.7685
229,0.3372,0.7686
230,0.3382,0.7686
231,0.3385,0.7687
232,0.3377,0.7687
233,0.3384,0.7688
234,0.3371,0.7688
235,0.3372,0.7688
236,0.3367,0.7689
237,0.3383,0.769
238,0.3372,0.769
239,0.3378,0.769
240,0.3373,0.7691
241,0.3379,0.7692
242,0.3366,0.7692
243,0.3372,0.7692
244,0.3372,0.7693
245,0.3361,0.7693
246,0.3373,0.7693
247,0.3369,0.7694
248,0.3368,0.7695
249,0.3368,0.7695
250,0.3372,0.7696
251,0.3377,0.7696
252,0.3387,0.7697
253,0.3382,0.7696
254,0.337,0.7697
255,0.3379,0.7698
256,0.3387,0.7699
