Epoch,G loss,ssim
1,0.0874,0.8233
2,0.1238,0.8858
3,0.1069,0.895
4,0.1159,0.9032
5,0.1392,0.9085
6,0.063,0.9122
7,0.0961,0.9194
8,0.0706,0.9243
9,0.0637,0.9278
10,0.1753,0.9306
11,0.0407,0.9339
12,0.0348,0.9368
13,0.0784,0.9416
14,0.0622,0.9429
15,0.0336,0.9354
16,0.0524,0.9448
17,0.102,0.9451
18,0.0272,0.9415
19,0.0442,0.9479
20,0.0345,0.9487
21,0.0404,0.9497
22,0.0299,0.9512
23,0.0415,0.9535
24,0.0423,0.9529
25,0.051,0.9518
26,0.0285,0.9554
27,0.0373,0.9535
28,0.0351,0.9542
29,0.0295,0.9549
30,0.0254,0.9571
31,0.0261,0.9593
32,0.0281,0.9581
33,0.0237,0.9595
34,0.0333,0.9616
35,0.0253,0.961
36,0.0251,0.9608
37,0.0787,0.9619
38,0.0298,0.9617
39,0.0278,0.9636
40,0.0454,0.9606
41,0.0225,0.9633
42,0.0239,0.9583
43,0.0219,0.9651
44,0.023,0.9652
45,0.0232,0.9657
46,0.0226,0.9655
47,0.0253,0.9687
48,0.0215,0.9677
49,0.0211,0.9683
50,0.0421,0.9688
51,0.0289,0.9676
52,0.0221,0.9706
53,0.0292,0.9681
54,0.0203,0.9712
55,0.0288,0.9713
56,0.0334,0.9673
57,0.0205,0.9715
58,0.0204,0.9722
59,0.0227,0.9702
60,0.0216,0.9723
61,0.0226,0.9728
62,0.0266,0.9722
63,0.0202,0.9736
64,0.0204,0.9738
65,0.0365,0.9724
66,0.0294,0.9728
67,0.0223,0.9755
68,0.0208,0.9736
69,0.0212,0.9753
70,0.0238,0.9726
71,0.0291,0.9766
72,0.0239,0.9759
73,0.0256,0.9753
74,0.024,0.9755
75,0.0253,0.9741
76,0.0202,0.9767
77,0.0223,0.9765
78,0.019,0.977
79,0.0213,0.9771
80,0.0547,0.9776
81,0.0183,0.9779
82,0.0205,0.9782
83,0.0187,0.977
84,0.0193,0.9794
85,0.0214,0.978
86,0.0212,0.979
87,0.0183,0.9785
88,0.0219,0.9803
89,0.0201,0.9799
90,0.0177,0.9787
91,0.0191,0.9809
92,0.0236,0.98
93,0.0238,0.9812
94,0.0187,0.9806
95,0.0279,0.9806
96,0.0264,0.9814
97,0.0167,0.9804
98,0.0245,0.9809
99,0.0241,0.9821
100,0.0234,0.9807
